"Timestamp","Name","Are there power lines?","In not a lot of words what is the answer to what is the setting of this picture?","What is the answer to what is the man wearing?","In not a lot of words where is the air mattress?","In not many words what is he doing?","What is the answer to what is the dresser made out of?","In not a lot of words what is the woman holding to shield the snow?","In not many words what part of the house is this picture taken in?","What type shoes is the man wearing?","In not a lot of words what is the answer to where is this picture taken?","Other thoughts or comments"
"2018/11/09 11:44:25 pm GMT-5","S S","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Sneakers","Hospital",""
"2018/11/10 11:04:06 am GMT-5","Kholu","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Sneakers","Hospital",""
"2018/11/10 3:55:06 pm GMT-5","Abhiman","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","White","Hospital",""
"2018/11/11 12:31:26 am GMT-5","Nishi","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Sneakers","Hospital",""
"2018/11/11 8:39:08 am GMT-5","Rakesh Falak","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Sneakers","Hospital",""
"2018/11/11 10:46:47 am GMT-5","Gaurav","Yes","Miami dream realty","Wetsuit","Middle","Skateboarding","Cantaloupe","Umbrella","Kitchen","Sneakers","Hospital",""
"2018/11/11 12:03:23 pm GMT-5","Piyush","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Cleats","Hospital",""
"2018/11/11 12:04:34 pm GMT-5","BHAVYA","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Cleats","Hospital",""
"2018/11/11 12:09:50 pm GMT-5","harneet","Yes","Miami dream realty","Wetsuit","On floor","Skateboarding","Wood","Child","Kitchen","Cleats","Hospital",""
"2018/11/11 12:44:59 pm GMT-5","Nitin","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Cleats","Hospital",""
